parent_cluster_id,sub_cluster_id,composite_id,patent_count,top_tfidf_terms,representative_titles,example_abstracts
10,0,10.0,28,fluid | working fluid | working | delivery | user | teeth | fluid reservoir | dental | teeth user | fluid delivery | dental cleaning | reservoir | fluid teeth | appliance dental | handle,CLEANING APPLIANCE | CLEANING APPLIANCE | CLEANING APPLIANCE | CLEANING APPLIANCE | DENTAL TREATMENT APPLIANCE,"A dental cleaning appliance includes a handle, a fluid reservoir for storing a working fluid, a fluid delivery system for receiving working fluid from the fluid reservoir, and for delivering a burst of working fluid to the teeth of a user, ... | A dental cleaning appliance includes a handle, a fluid delivery system for delivering working fluid to the teeth of a user, and a control circuit for actuating the delivery of working fluid to the teeth of the user depending on a received i... | A dental cleaning appliance includes a handle and a fluid delivery system for delivering a burst of working fluid to the teeth of a user. Part of the fluid delivery system is moveable relative to the handle as the appliance is moved along t... | A dental cleaning appliance includes a handle, a fluid reservoir for storing a working fluid, and a fluid delivery system for receiving working fluid from the fluid reservoir, and for delivering the working fluid to the teeth of a user. The... | A dental cleaning appliance includes a handle, a fluid reservoir for storing a working fluid, and a fluid delivery system for receiving working fluid from the reservoir, and for delivering working fluid to the oral cavity of a user. A drive..."
10,1,10.1,26,floor tool | floor | tool | vacuum cleaning | tool vacuum | support | suction | vacuum | appliance floor | conduit | plate | arrangement | suction nozzle | cleaning | outlet,FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE | FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE | FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE | FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE | FLOOR TOOL FOR A VACUUM CLEANING APPLIANCE,"A floor tool for a vacuum cleaning appliance comprising a support member adapted to support a cleaning element and at least one suction nozzle in communication with a conduit that is attachable to a vacuum cleaning appliance, wherein a neck... | A floor tool for a vacuum cleaning appliance comprising a support member for supporting a cleaning element and at least one suction nozzle in communication with a conduit, wherein the conduit includes one or more plug elements that are enga... | A floor tool for a vacuum cleaning appliance, comprising a main body connected to a conduit, the main body comprising, a supporting member adapted to support a cleaning element and a suction nozzle adjacent an edge of the supporting member,... | A floor tool for a vacuum cleaning appliance, comprising a main body connected to a conduit, the main body comprising, a supporting member adapted to support a cleaning element and a suction nozzle adjacent an edge of the supporting member,... | A floor tool for a vacuum cleaning appliance comprising a support member adapted to support a cleaning element and at least one suction nozzle in communication with a conduit, wherein the support member comprises a removable pad which is de..."
10,2,10.2,31,bristle | carrier | attachment | bristles | valve | air | diffuser | cover | configuration | suction opening | vacuum | wand | suction | brush | air flow,ATTACHMENT FOR A VACUUM CLEANING APPLIANCE | ATTACHMENT FOR A VACUUM CLEANING APPLIANCE | ATTACHMENT FOR A VACUUM CLEANING APPLIANCE | ATTACHMENT FOR A VACUUM CLEANING APPLIANCE | VACUUM CLEANER TOOL,"An attachment for a vacuum cleaning appliance includes a head and a handle connected to the head. The head includes a bristle carrier having a plurality of bristles, and a bristle cover having a plurality of apertures. A conduit is connecta... | An attachment for a vacuum cleaning appliance includes a head and a handle connected to the head. The head includes a bristle carrier having a plurality of bristles, and a bristle cover having a plurality of apertures. A conduit is connecta... | An attachment for a vacuum cleaning appliance includes a head having a bristle carrier and a bristle cover. The bristle carrier includes a plurality of bristles and the bristle cover includes a plurality of apertures. The attachment include... | A grooming device includes a head and a handle. A first end of the handle is connected to the head, and a second end of the handle is connectable to a vacuum cleaning appliance. The head includes a bristle carrier having a plurality of bris... | A tool for a vacuum cleaner that includes a nozzle and a bristle assembly. An elongate suction opening is provided in a base of the nozzle. The bristle assembly is mounted within the nozzle and includes a carrier to which a strip of bristle..."
10,3,10.3,23,receptacle | longitudinal | longitudinal axis | side | axis | surface | wall | domestic | bottom | processing | cleaning assembly | blade | disposed | side wall | surface cleaning,DOMESTIC APPLIANCE | DOMESTIC APPLIANCE | DOMESTIC APPLIANCE | DOMESTIC APPLIANCE | DOMESTIC APPLIANCE,"A domestic blender includes a receptacle and a tool located within the receptacle. The receptacle has a bottom wall, a side wall defining an opening through which foodstuff material is introduced to the receptacle, and a longitudinal axis a... | A domestic blender has a receptacle and a tool. The receptacle has a bottom wall, a side wall defining an opening through which foodstuff material is introduced to the receptacle, and a longitudinal axis about which the side wall is dispose... | A domestic blender includes a receptacle and a tool. The receptacle has a bottom wall, a side wall defining an opening through which foodstuff material is introduced to the receptacle, and a longitudinal axis about which the side wall is di... | A domestic blender includes a receptacle having a bottom wall, a side wall defining an opening through which foodstuff material is introduced to the receptacle, and a longitudinal axis about which the side wall is disposed. The bottom wall ... | A domestic blender includes a receptacle, a tool located within the receptacle, and a base upon which the receptacle is detachably mounted. The receptacle has a bottom wall, a side wall defining an opening through which foodstuff material i..."
10,4,10.4,4,steering | rolling assembly | separating | rolling | canister | floor engaging | canister type | engaging rolling | type | appliance canister | mechanism steering | assembly | appliance cleaning | mechanism | steering cleaning,CLEANING APPLIANCE | CLEANING APPLIANCE | CANISTER VACUUM CLEANER | CLEANING APPLIANCE,"A cleaning appliance of the canister type includes separating apparatus for separating dirt from a dirt-bearing fluid flow, a floor engaging rolling assembly, and a steering mechanism for steering the cleaning appliance as it is manoeuvred ... | A cleaning appliance of the canister type includes separating apparatus for separating dirt from a dirt-bearing fluid flow, a floor engaging rolling assembly, and a steering mechanism for steering the cleaning appliance as it is manoeuvred ... | A cleaning appliance of the canister type includes separating apparatus for separating dirt from a dirt-bearing fluid flow, a floor engaging rolling assembly, and a steering mechanism for steering the cleaning appliance as it is manoeuvred ... | A cleaning appliance of the canister type includes a chassis, a plurality of front floor engaging steering members connected to the chassis, a rear floor engaging rolling assembly connected to the chassis, and a control mechanism for steeri..."
10,5,10.5,9,floor care | care | mode | decontamination | refrigeration | heat | decontamination program | care floor | program | refrigerant | exchanger | heat exchanger | thermal store | thermal | docking,SELF-CLEANING VACUUM CLEANER | SELF-CLEANING VACUUM CLEANER | SELF-CLEANING VACUUM CLEANER | SELF-CLEANING VACUUM CLEANER | REFRIGERATION SYSTEM,"A docking station (190) is provided for allowing decontaminating parts of a floor care device (100). The floor care device (100) comprises at least one part (110) that is susceptible to contamination when the floor care device is used in a ... | A docking station is provided for allowing decontaminating parts of a floor care device. The floor care device includes at least one part that is susceptible to contamination when the floor care device is used in a floor care mode. The meth... | A method, and a floor care device (100, 200) are provided for allowing decontaminating parts of a floor care device. The floor care device comprises at least one part (110, 210) that is susceptible to contamination when the floor care devic... | A method, and a floor care device are provided for allowing decontaminating parts of a floor care device. The floor care device includes at least one part that is susceptible to contamination when the floor care device is used in a floor ca... | A refrigeration system is described having a circuit around which a refrigerant circulates. The circuit includes a compressor, a metering device, a first heat exchanger for exchanging heat between the refrigerant and a medium, and a second ..."
10,6,10.6,9,floor cleaner | dock | liquid | cleaner | receiving | receiving unit | unit | reservoir | receiving floor | cleaner dock | floor | unit receiving | dock receiving | reservoir containing | containing,FLOOR CLEANER DOCK | FLOOR CLEANER DOCK | FLOOR CLEANER DOCK | FLOOR CLEANER DOCK | FLOOR CLEANER DOCK,"A dock for a floor cleaner. For example, a dock for receiving a floor cleaner, the dock including a receiving unit for receiving the floor cleaner, and a reservoir for containing a disinfecting liquid. The dock further includes an applicato... | A dock for a floor cleaner is provided. The dock includes a receiving unit for receiving the floor cleaner, and a reservoir for containing liquid. A nozzle is arranged to spray a floor cleaner received in the receiving unit with liquid from... | A dock for a floor cleaner, particularly a dock for cleaning a floor cleaner, is provided. The dock includes a receiving unit for receiving the floor cleaner, and a reservoir for containing liquid. The dock is arranged to feed liquid from t... | A mobile dock is disclosed and includes a receiving unit for receiving the floor cleaner. The paired device may be the floor cleaner, or a smart device of a user. The mobile dock follows a user, such that the dock is conveniently accessible... | A dock for receiving a floor cleaner with a cleaning head, the dock including a receiving unit for receiving the cleaning head of the floor cleaner, and a hair removal unit for removing hair from a cleaning head received by the receiving un..."
11,0,11.0,23,water | tank | air flow | water tank | flow | chamber | humidifying | water supply | supply | ultraviolet | moisture | moisture source | air treatment | water chamber | treatment,AIR TREATMENT APPARATUS | AIR TREATMENT APPARATUS | AIR TREATMENT APPARATUS | AIR TREATMENT APPARATUS | AIR TREATMENT APPARATUS,"Provided is an air treatment apparatus comprising an air flow generator arranged to generate an air flow, a moisture source arranged to introduce water vapour into the air flow, a body that in use surrounds both air flow generator and the m... | There is provided an air treatment apparatus comprising an air flow generator that is arranged to generate an air flow through the air treatment apparatus, a moisture source that is arranged to introduce water vapour into the air flow, a bo... | Provided is an air treatment apparatus comprising an air flow generator arranged to generate an air flow, a moisture source arranged to introduce water vapour into the air flow, and a water supply system. The water supply system comprises a... | There is provided an air treatment apparatus comprising an air flow generator that is arranged to generate an air flow through the air treatment apparatus, a moisture source that is arranged to introduce water vapour into the air flow, a bo... | There is provided an air treatment apparatus comprising an air flow generator that is arranged to generate an airflow, a moisture source that is arranged to introduce water vapour into the air flow, a body that in use surrounds both the air..."
11,1,11.1,38,air purifier | purifier | filtered airflow | filtered | airflow | wearable | nozzle | nozzle assembly | head wearable | wearable air | head | speaker | assembly | speaker assembly | headgear,WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER | AIR TREATMENT APPARATUS,"A wearable air purifier includes a headgear, an air purifier assembly and a nozzle assembly. The air purifier assembly includes a filter and an airflow generator for creating an airflow through the filter. The nozzle assembly includes a con... | There is provided a head wearable air purifier comprising a first speaker assembly and a second speaker assembly, wherein the first speaker assembly comprises a filter assembly, an impeller for creating an airflow through the filter assembl... | There is provided a head wearable air purifier comprising a first speaker assembly and a second speaker assembly, wherein the first speaker assembly comprises a filter assembly, a motor-driven impeller for creating an airflow through the fi... | There is provided a head wearable air purifier comprising a first speaker assembly and a second speaker assembly, wherein the first speaker assembly comprises a filter assembly, an impeller for creating an airflow through the filter assembl... | There is provided an air treatment apparatus comprising a head wearable air purifier. The head wearable air purifier comprises a first speaker assembly arranged to be worn over a first ear of a user and a second speaker assembly arranged to..."
11,2,11.2,24,casing | cavity | opening | drying | formed | airflow | sleeve | receiving | object | fan located | slot-like | fan | mount | drying drying | slot-like opening,Drying Apparatus | DRYING APPARATUS | DRYING APPARATUS | Drying Apparatus | Dryer,"A drying apparatus has a casing, a cavity formed in the casing for receiving an object, a fan located in the casing and creating an airflow, a motor arranged to drive the fan. At least one opening communicates with the fan and is arranged i... | A drying apparatus has a casing, a cavity formed in the casing for receiving an object, a fan located in the casing and creating an airflow, and at least one slot-like opening communicating with the fan and arranged in the casing so as to d... | A drying apparatus has a casing, a cavity formed in the casing for receiving an object, a fan located in the casing and creating an airflow, and a motor arranged to drive the fan. At least one opening communicates with the fan and is arrang... | A drying apparatus having a casing, a cavity formed in the casing for receiving an object, a fan located in the casing and creating an airflow, and at least one slot-like opening communicating with the fan and arranged in the casing to dire... | A drying apparatus has a casing, a cavity formed in the casing for receiving an object, and a fan located in the casing and creating an airflow. At least one slot-like opening communicates with the fan and is arranged in the casing so as to..."
11,3,11.3,28,hand | dryer | hand dryer | air-knife | sink | user | fixture | hands | user hands | basin | discharge | basin sink | fan unit | spout | jet,HAND DRYER | IMPROVEMENTS IN OR RELATING TO HAND DRYING | HAND DRYING | DEVELOPMENTS IN OR RELATING TO HAND DRYING | HAND DRYER,"A hand dryer for drying a user's hands by means of airflow discharged through an air outlet on the hand dryer. The airflow is generated by a motor-driven fan unit which is spring-mounted on a fixed part of the hand dryer via a plurality of ... | An arrangement incorporates a sink and a hand dryer which extends over the sink. The hand dryer is of the type which uses an air-knife mechanically to wipe the water from the user's hands. The hand dryer comprising two elongate air-knife di... | An arrangement incorporates a sink and a hand dryer which extends over the sink. The hand dryer is of the type which uses an air-knife mechanically to wipe the water from the user's hands. The hand dryer comprising two elongate air-knife di... | A fixture arranged in combination with a sink. The fixture is fitted next to the basin of the sink and incorporates a part which projects over the basin of the sink, this projecting part carrying a water nozzle which is connected to a water... | A hand dryer comprising an elongate air-knife discharge outlet for discharging an air-knife across the width of a user's hand held flat in front of the outlet, thereby mechanically to scrape water from the hand as the hand is moved lengthwi..."
11,4,11.4,13,air delivery | delivery | delivery mask | mask | region | delivery region | wearable | support | wearable air | wearable support | air purification | purification | air air | purifier wearable | flow air,WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER | WEARABLE AIR PURIFIER,"A wearable air purification system or air purifier including a wearable support configured to be supported on a head region of a user and having a first end connected to a first audio earpiece and a second end connected to a second audio ea... | A wearable air purification system having a wearable support configured to be supported on a user's head. The wearable support is attached to an air delivery mask which delivers a flow of air to an air delivery region. A motor for driving t... | A wearable air purification system including a wearable support configured to be supported on or around a head region of a user, and an air delivery mask connected to the wearable support which is shaped to bound an air delivery region and ... | A wearable air purification system including a wearable support for on or around a head region of a user; and an air delivery mask connected to the wearable support which is shaped to bound an air delivery region and to deliver a flow of ai... | A wearable air purification system including a wearable support configured to be supported on or around a head region of a user; and an air delivery mask connected to the wearable support which is shaped to bound an air delivery region and ..."
11,5,11.5,19,light | light source | source | heating | domestic | domestic appliance | appliance | light emitted | lighting | heat | illuminate | way illuminate | arranged way | emitting light | fins,SELF-CLEANING DOMESTIC APPLIANCE | SELF-CLEANING DOMESTIC APPLIANCE | SELF-CLEANING DOMESTIC APPLIANCE | DOMESTIC APPLIANCE | DEVICE FOR STIMULATING VITAMIN D PRODUCTION,"A domestic appliance is provided including an air inlet, an air outlet with at least one nozzle, and a compressor configured to compress incoming air received at the inlet and to expel the compressed air through the at least one nozzle. The... | A docking station is provided for holding at least a part of a domestic appliance and for decontaminating the at least one nozzle thereof. The domestic appliance is provided including an air inlet, an air outlet with at least one nozzle, an... | A docking station is provided for holding at least a part of a domestic appliance and for decontaminating the at least one nozzle thereof. The domestic appliance is provided comprising an air inlet, an air outlet with at least one nozzle, a... | A toasting appliance includes a toasting chamber, a heating element for heating a foodstuff located within the toasting chamber, an optical system having a first light source for illuminating the foodstuff with light having a first waveleng... | A device for stimulating vitamin D production in a tissue. The device comprises a UV-B light source configured to emit light with a wavelength between 280 nm and 320 nm; and at least one tissue penetrating member optically coupled to the UV..."
11,6,11.6,27,fan assembly | fan | base | body | base body | stand | outer | assembly | assembly fan | air outlet | air outlets | relative base | relative | outlets | current,FAN ASSEMBLY | FAN ASSEMBLY | FAN ASSEMBLY | FAN ASSEMBLY | FAN ASSEMBLY,A fan assembly for creating an air current includes an air outlet mounted on a stand. The stand includes a base and a body tiltable relative to the base. The fan assembly has a center of gravity located so that when the base is located on a... | A fan assembly for creating an air current includes an air outlet mounted on a stand. The stand includes a base and a body tiltable relative to the base. The fan assembly has a center of gravity located so that when the base is located on a... | A fan assembly for creating an air current includes an air outlet mounted on a stand. The stand includes a base and a body tiltable relative to the base. The fan assembly has a center of gravity located so that when the base is located on a... | A fan assembly for creating an air current includes an air outlet mounted on a stand. The stand includes a base and a body tiltable relative to the base. The fan assembly has a centre of gravity located so that when the base is located on a... | A fan assembly for creating an air current includes an air outlet mounted on a stand. The stand includes a base and a body tiltable relative to the base. Each of the base and the body has an outer surface shaped so that adjoining portions o...
11,7,11.7,34,filter | filter assembly | housing | medium | filter filter | filter medium | assembly filter | filter housing | vacuum | media | filter media | vacuum cleaner | cleaner | assembly | material,FILTER ASSEMBLY | FILTER ASSEMBLY | A BIODEGRADABLE FILTER ASSEMBLY FOR AN ELECTRICAL APPLIANCE | FAN ASSEMBLY WITH A REMOVABLE FILTER ASSEMBLY | FAN ASSEMBLY WITH A REMOVABLE FILTER ASSEMBLY,"A filter assembly for use in a cleaning appliance has a first filter portion surrounded by a deformable rim. The first filter portion consists of a non-woven medium. The filter assembly (also includes a second filter portion located downstr... | A filter assembly includes a filter housing, a first filter, and a second filter, wherein the first filter is a pre-motor filter, and the second filter is a post-motor filter, and both the first and second filters are fixed to the filter ho... | A biodegradable filter assembly for an electrical appliance including a motor for generating an airflow through the appliance, in use, the biodegradable filter assembly being configured to filter particulate matter from the airflow, wherein... | A fan assembly, including a fan body including an inlet surface defining an air inlet. A motor-driven impeller contained within the fan body generates an airflow. A filter assembly is arranged to removably engage with the fan body and to co... | A fan assembly is provided and includes a fan body, a motor-driven impeller contained within the fan body, and a filter assembly engaged with the fan body. The fan body can include an air inlet defined by an inlet surface. The motor-driven ..."
